response_variable_name	database_identifier	database_namespace	treatment	signal_intensity
APOA2	P02652	uniprot	Control 2h	99.69271664
RPL6	Q02878	uniprot	Control 2h	48.2514745
COX4I1	P13073	uniprot	Control 2h	193.783538
DHX9	Q08211	uniprot	Control 2h	94.91441423
SEC23A	Q15436	uniprot	Control 2h	98.73765738
SPTAN1	Q13813	uniprot	Control 2h	218.85833829999999
APLP2	Q06481	uniprot	Control 2h	227.15753840000002
TSPAN8	P19075	uniprot	Control 2h	87.58545248
RPL3	P39023	uniprot	Control 2h	142.3472011
DDX3X	O00571	uniprot	Control 2h	76.38156112
MCM3	P25205	uniprot	Control 2h	63.10334036
CTSD	P07339	uniprot	Control 2h	84.0786301
SF3B4	Q15427	uniprot	Control 2h	74.37444457
HNRNPL	P14866	uniprot	Control 2h	80.23088696
SPTBN1	Q01082	uniprot	Control 2h	94.32725619
CLPTM1	O96005	uniprot	Control 2h	60.76188801
ARCN1	P48444	uniprot	Control 2h	73.77897147
POR	P16435	uniprot	Control 2h	42.26482883
HUWE1	Q7Z6Z7	uniprot	Control 2h	74.77420074
TMEM109	Q9BVC6	uniprot	Control 2h	64.96388879999999
DHX15	O43143	uniprot	Control 2h	22.63857647
BZW1	Q7L1Q6	uniprot	Control 2h	102.1095339
FSCN1	Q16658	uniprot	Control 2h	49.62879818
FASN	P49327	uniprot	Control 2h	67.37549944
	Q9N2J8	uniprot	Control 2h	82.00940766
VASP	P50552	uniprot	Control 2h	144.5583899
HIST1H1B	P16401	uniprot	Control 2h	23.58732001
RSU1	Q15404	uniprot	Control 2h	60.03939802
MATR3	P43243	uniprot	Control 2h	88.26799956
GDF15	Q99988	uniprot	Control 2h	68.18934804
S100A10	P60903	uniprot	Control 2h	110.5778243
MSN	P26038	uniprot	Control 2h	0.0
PDLIM5	Q96HC4	uniprot	Control 2h	63.37198558
CTNND1	O60716	uniprot	Control 2h	37.75794991
BCLAF1	Q9NYF8	uniprot	Control 2h	57.97346663
RAB7A	P51149	uniprot	Control 2h	56.99801469
RPS23	P62266	uniprot	Control 2h	61.9796089
VAMP8	Q9BV40	uniprot	Control 2h	73.32159886
RPL29	P47914	uniprot	Control 2h	96.09222588
SERBP1	Q8NC51	uniprot	Control 2h	3.612665264
SLC1A5	Q15758	uniprot	Control 2h	95.1684312
CTTN	Q14247	uniprot	Control 2h	47.91255675
PKM	P14618	uniprot	Control 2h	166.0574118
NONO	Q15233	uniprot	Control 2h	48.10770179
LDHB	P07195	uniprot	Control 2h	72.23307373
P4HB	P07237	uniprot	Control 2h	140.8157491
HSP90AB1	P08238	uniprot	Control 2h	95.09028319
GRHPR	Q9UBQ7	uniprot	Control 2h	73.27630483
Sep-09	Q9UHD8	uniprot	Control 2h	54.63272985
GNB2L1; RACK1	P63244	uniprot	Control 2h	86.29830388
CSE1L	P55060	uniprot	Control 2h	270.08150539999997
SCPEP1	Q9HB40	uniprot	Control 2h	2.853736885
VIM	P08670	uniprot	Control 2h	0.0
PCBP1	Q15365	uniprot	Control 2h	57.27514429
PDLIM7	Q9NR12	uniprot	Control 2h	58.13448604
RAB1A	P62820	uniprot	Control 2h	108.68224450000001
ARPC2	O15144	uniprot	Control 2h	0.0
DLD	P09622	uniprot	Control 2h	45.4699636
ME1	P48163	uniprot	Control 2h	30.28061383
CTSA	P10619	uniprot	Control 2h	43.99563907
SSB	P05455	uniprot	Control 2h	9.169057102
PGK1	P00558	uniprot	Control 2h	0.0
LIMA1	Q9UHB6	uniprot	Control 2h	78.14532476
EIF1	P41567	uniprot	Control 2h	77.98786011
APOA1BP; NAXE	Q8NCW5	uniprot	Control 2h	88.82850586
TUFM	P49411	uniprot	Control 2h	61.89220333
HLA-A; LOC100507703	P01892	uniprot	Control 2h	69.36073134
TXNRD1	Q16881	uniprot	Control 2h	6.959286862999999
COMT	P21964	uniprot	Control 2h	69.09373455
STRAP	Q9Y3F4	uniprot	Control 2h	64.36093914
H3F3A; H3F3AP4; H3F3B	P84243	uniprot	Control 2h	82.33907915
ALPL	P05186	uniprot	Control 2h	56.39724578
EIF3A	Q14152	uniprot	Control 2h	93.39173843
SLC2A1	P11166	uniprot	Control 2h	110.0034067
MAT2A	P31153	uniprot	Control 2h	11.49714583
OPA1	O60313	uniprot	Control 2h	35.48919728
RBBP7	Q16576	uniprot	Control 2h	63.23444735
RPL10	P27635	uniprot	Control 2h	81.99820421
GFPT1	Q06210	uniprot	Control 2h	110.4643097
RPS4X	P62701	uniprot	Control 2h	51.45801987
ALDH2	P05091	uniprot	Control 2h	66.90780252
NDUFS1	P28331	uniprot	Control 2h	7.098360767999999
ZC3HAV1	Q7Z2W4	uniprot	Control 2h	63.00401578
SEC61B	P60468	uniprot	Control 2h	53.58061609999999
KRT7	P08729	uniprot	Control 2h	33.25550013
KRT7	P08729	uniprot	Control 2h	33.25550013
KRT7	P08729	uniprot	Control 2h	33.25550013
KRT7	P08729	uniprot	Control 2h	33.25550013
YWHAG	P61981	uniprot	Control 2h	55.22176525
PPIA	P62937	uniprot	Control 2h	325.044561
CCT4	P50991	uniprot	Control 2h	42.13292129
SYNJ2BP	P57105	uniprot	Control 2h	4.330729084
GAPVD1	Q14C86	uniprot	Control 2h	50.79204117
SMARCE1	Q969G3	uniprot	Control 2h	71.22409131
ATP1B3	P54709	uniprot	Control 2h	74.28890995
HSD17B4	P51659	uniprot	Control 2h	116.47918159999999
MGST3	O14880	uniprot	Control 2h	104.24181690000002
EHD1	Q9H4M9	uniprot	Control 2h	89.17423363
NDUFA4	O00483	uniprot	Control 2h	48.61072451
LRPAP1	P30533	uniprot	Control 2h	47.28601127
NUCB1	Q02818	uniprot	Control 2h	31.27453068
PPL	O60437	uniprot	Control 2h	43.78108969
CTNNB1	P35222	uniprot	Control 2h	35.35920316
ATP6V1G1	O75348	uniprot	Control 2h	78.82992882
RPS18	P62269	uniprot	Control 2h	92.31585356
EDF1	O60869	uniprot	Control 2h	67.3010714
TPI1	P60174	uniprot	Control 2h	12.1430448
NUMA1	Q14980	uniprot	Control 2h	105.23964299999999
FLNC	Q14315	uniprot	Control 2h	79.30359707
HIST2H2AB	Q8IUE6	uniprot	Control 2h	20.19024205
SPINT2	O43291	uniprot	Control 2h	92.66206132
CBX3; C15orf57; CCDC32	Q13185	uniprot	Control 2h	51.39371361
PRKDC	P78527	uniprot	Control 2h	40.12345544
SEC61A1	P61619	uniprot	Control 2h	0.0
PFKP	Q01813	uniprot	Control 2h	14.9911586
RPL8	P62917	uniprot	Control 2h	48.9089844
LUC7L2	Q9Y383	uniprot	Control 2h	25.275568600000003
PPP5C	P53041	uniprot	Control 2h	16.82799837
LSM6	P62312	uniprot	Control 2h	39.28817356
YWHAQ	P27348	uniprot	Control 2h	36.19259931
PSMG1	O95456	uniprot	Control 2h	38.14640271
SH3GL1	Q99961	uniprot	Control 2h	10.04365324
HDGF	P51858	uniprot	Control 2h	50.05040839
CYR61	O00622	uniprot	Control 2h	65.15742622
TLN1	Q9Y490	uniprot	Control 2h	0.0
MVP	Q14764	uniprot	Control 2h	20.52162363
CHMP1B	Q7LBR1	uniprot	Control 2h	61.73742927
ANXA7	P20073	uniprot	Control 2h	32.22411292
NDUFV2	P19404	uniprot	Control 2h	14.46832229
HIST1H1D	P16402	uniprot	Control 2h	56.45052067
ATP1A1	P05023	uniprot	Control 2h	8.665670326
VPS26A	O75436	uniprot	Control 2h	42.57573508
QPRT	Q15274	uniprot	Control 2h	32.63392362
RPSA	P08865	uniprot	Control 2h	72.10680767
RPS19	P39019	uniprot	Control 2h	48.89731207
PNP	P00491	uniprot	Control 2h	12.98706446
SAP18	O00422	uniprot	Control 2h	44.29815272
RPLP0	P05388	uniprot	Control 2h	68.29583999
ATP5I	P56385	uniprot	Control 2h	18.78513035
MAGED2	Q9UNF1	uniprot	Control 2h	59.30950216
ILF3	Q12906	uniprot	Control 2h	36.63239814
SDHA	P31040	uniprot	Control 2h	62.08141092
GPC1	P35052	uniprot	Control 2h	71.94897001
IDH3B	O43837	uniprot	Control 2h	62.25554679
ACSL5	Q9ULC5	uniprot	Control 2h	22.18173399
UQCRC2	P22695	uniprot	Control 2h	23.34930649
CDH1	P12830	uniprot	Control 2h	49.36267768
PSMD6	Q15008	uniprot	Control 2h	34.67527638
WDR1	O75083	uniprot	Control 2h	88.67321986
PSMA4	P25789	uniprot	Control 2h	41.56117354
TTLL12	Q14166	uniprot	Control 2h	83.71880086
PGM3	O95394	uniprot	Control 2h	20.80064168
PPP2R1A	P30153	uniprot	Control 2h	0.0
STT3A	P46977	uniprot	Control 2h	69.05728011
PTBP1	P26599	uniprot	Control 2h	8.057053841
CCT6A	P40227	uniprot	Control 2h	24.741803100000002
SCD	O00767	uniprot	Control 2h	105.4285263
UQCRC1	P31930	uniprot	Control 2h	61.24127003
PRSS57	Q6UWY2	uniprot	Control 2h	62.3590965
SURF4	O15260	uniprot	Control 2h	15.01524359
UBL5	Q9BZL1	uniprot	Control 2h	47.61561089
LMO7	Q8WWI1	uniprot	Control 2h	14.60420771
THOP1	P52888	uniprot	Control 2h	62.91609503
QARS	P47897	uniprot	Control 2h	45.02312838
BAG3	O95817	uniprot	Control 2h	7.666583177000001
SRP9; SRP9P1	P49458	uniprot	Control 2h	34.05580882
RPL30	P62888	uniprot	Control 2h	66.29451933
HNRNPH2	P55795	uniprot	Control 2h	0.0
ARPC4	P59998	uniprot	Control 2h	55.99791817
PICALM	Q13492	uniprot	Control 2h	35.99142697
EIF3L	Q9Y262	uniprot	Control 2h	51.12089059
HADHA	P40939	uniprot	Control 2h	73.24552611
HNRNPA0	Q13151	uniprot	Control 2h	50.72492009
IFNGR1	P15260	uniprot	Control 2h	29.90742518
CHAMP1	Q96JM3	uniprot	Control 2h	34.16865266
LIPA	P38571	uniprot	Control 2h	19.55850036
TGFBI	Q15582	uniprot	Control 2h	59.12682443
GANAB	Q14697	uniprot	Control 2h	116.6557963
PCBD1	P61457	uniprot	Control 2h	41.00977151
CLIC1	O00299	uniprot	Control 2h	77.86971063
NOP56	O00567	uniprot	Control 2h	13.68935435
GPR64; ADGRG2	Q8IZP9	uniprot	Control 2h	38.32293647
B2M	P61769	uniprot	Control 2h	47.97049015
CPSF7	Q8N684	uniprot	Control 2h	23.97862539
SERPINB1	P30740	uniprot	Control 2h	38.59965906
AKR1C3	P42330	uniprot	Control 2h	6.029444037999999
ETFB	P38117	uniprot	Control 2h	65.82209047
AGT	P01019	uniprot	Control 2h	66.25121584
NOLC1	Q14978	uniprot	Control 2h	24.29463317
IDI1	Q13907	uniprot	Control 2h	48.82738296
RPS16	P62249	uniprot	Control 2h	60.35494249
LMNA	P02545	uniprot	Control 2h	0.0
DCAF13	Q9NV06	uniprot	Control 2h	23.78641971
RPN2	P04844	uniprot	Control 2h	11.34976809
EEF2	P13639	uniprot	Control 2h	30.41790921
CS	O75390	uniprot	Control 2h	35.40591876
PRPF6	O94906	uniprot	Control 2h	15.38399611
GRB2	P62993	uniprot	Control 2h	75.69332793
GALNT2	Q10471	uniprot	Control 2h	41.48068354
PPIB	P23284	uniprot	Control 2h	41.90670364
M6PR	P20645	uniprot	Control 2h	46.65711199
RAN	P62826	uniprot	Control 2h	6.139808334
EIF3G	O75821	uniprot	Control 2h	42.74776404
DNAJB1	P25685	uniprot	Control 2h	28.29286388
YTHDF2	Q9Y5A9	uniprot	Control 2h	18.42343959
RUVBL2	Q9Y230	uniprot	Control 2h	59.79696184
GARS	P41250	uniprot	Control 2h	5.256894044
CFL1	P23528	uniprot	Control 2h	20.53186947
SLC25A1	P53007	uniprot	Control 2h	11.32480307
PDXK	O00764	uniprot	Control 2h	54.93235306
EIF2S3	P41091	uniprot	Control 2h	41.90017515
RNF113A	O15541	uniprot	Control 2h	20.52454109
SQSTM1	Q13501	uniprot	Control 2h	52.31558285
HEXB	P07686	uniprot	Control 2h	17.54696635
STX12	Q86Y82	uniprot	Control 2h	36.31267219
ECHS1	P30084	uniprot	Control 2h	14.62972412
RBM28	Q9NW13	uniprot	Control 2h	14.78436477
RPL9	P32969	uniprot	Control 2h	32.57149876
SHMT2	P34897	uniprot	Control 2h	31.83872424
AHSA1	O95433	uniprot	Control 2h	17.07267385
SRM	P19623	uniprot	Control 2h	0.0
SF1	Q15637	uniprot	Control 2h	0.0
ATP6V1E1	P36543	uniprot	Control 2h	72.7448055
SERPINH1	P50454	uniprot	Control 2h	0.0
G3BP2	Q9UN86	uniprot	Control 2h	23.53943507
TPD52L2	O43399	uniprot	Control 2h	37.64704636
GSPT1	P15170	uniprot	Control 2h	20.29795961
KIAA0020; PUM3	Q15397	uniprot	Control 2h	62.53584521
VAPA	Q9P0L0	uniprot	Control 2h	13.76037954
RPS29	P62273	uniprot	Control 2h	55.95359747
ATP1B1	P05026	uniprot	Control 2h	0.0
MACC1	Q6ZN28	uniprot	Control 2h	81.24188785
IGHV3-21	A0A0B4J1V1	uniprot	Control 2h	41.26239794
FASTKD3	Q14CZ7	uniprot	Control 2h	45.92318087
HEBP1	Q9NRV9	uniprot	Control 2h	43.97211489
EEF1G	P26641	uniprot	Control 2h	0.0
LRP1	Q07954	uniprot	Control 2h	37.06383709
RPL23	P62829	uniprot	Control 2h	36.23698017
BCAP31	P51572	uniprot	Control 2h	99.31053982
RPL13	P26373	uniprot	Control 2h	0.0
GOLM1	Q8NBJ4	uniprot	Control 2h	0.0
SRSF5	Q13243	uniprot	Control 2h	30.04246917
U2AF2	P26368	uniprot	Control 2h	48.80759353
CDHR5	Q9HBB8	uniprot	Control 2h	73.57400201
MIF	P14174	uniprot	Control 2h	4.258827903999999
MOB1B	Q7L9L4	uniprot	Control 2h	22.40297493
RAB6A	P20340	uniprot	Control 2h	17.95506813
SCO2	O43819	uniprot	Control 2h	44.32345695
TJP1	Q07157	uniprot	Control 2h	73.84288601
EIF3I	Q13347	uniprot	Control 2h	66.69518354
PIR	O00625	uniprot	Control 2h	0.0
RBMX	P38159	uniprot	Control 2h	37.40139386
GFM1	Q96RP9	uniprot	Control 2h	27.09154446
ANXA6	P08133	uniprot	Control 2h	45.3661551
TM4SF1	P30408	uniprot	Control 2h	14.55171343
STAT1	P42224	uniprot	Control 2h	2.359010675
RAB8A	P61006	uniprot	Control 2h	40.26001997
NDUFAF7	Q7L592	uniprot	Control 2h	22.29489864
IMPDH2	P12268	uniprot	Control 2h	0.0
NUP85	Q9BW27	uniprot	Control 2h	24.91382559
UGP2	Q16851	uniprot	Control 2h	72.19688932
GCDH	Q92947	uniprot	Control 2h	5.433922821
NCAPH	Q15003	uniprot	Control 2h	33.47151368
S100A4	P26447	uniprot	Control 2h	23.01320035
TCOF1	Q13428	uniprot	Control 2h	26.98455766
DSTN	P60981	uniprot	Control 2h	2.673664379
RPL32	P62910	uniprot	Control 2h	0.0
ZYX	Q15942	uniprot	Control 2h	24.0928532
AGL	P35573	uniprot	Control 2h	32.86125854
CSRP1	P21291	uniprot	Control 2h	0.0
TRAM1	Q15629	uniprot	Control 2h	24.48667527
L1CAM	P32004	uniprot	Control 2h	30.35477964
TAGLN	Q01995	uniprot	Control 2h	8.777901947
SRP72	O76094	uniprot	Control 2h	2.320574568
USP14	P54578	uniprot	Control 2h	0.711011215
SNRPA1	P09661	uniprot	Control 2h	0.0
RAB5C	P51148	uniprot	Control 2h	26.40620692
DBNL	Q9UJU6	uniprot	Control 2h	88.57535787
ETFA	P13804	uniprot	Control 2h	25.75906548
COX6B1	P14854	uniprot	Control 2h	31.10723819
CCT3	P49368	uniprot	Control 2h	19.10969068
PTPN1	P18031	uniprot	Control 2h	8.532091306
RRM1	P23921	uniprot	Control 2h	0.0
TXNDC5	Q8NBS9	uniprot	Control 2h	0.0
HSP90AA1	P07900	uniprot	Control 2h	0.0
CMPK1	P30085	uniprot	Control 2h	9.546179265
PBRM1	Q86U86	uniprot	Control 2h	30.44525979
CDC27	P30260	uniprot	Control 2h	15.49605184
ESYT1	Q9BSJ8	uniprot	Control 2h	0.0
GLUD1	P00367	uniprot	Control 2h	107.78566359999999
CORO1C	Q9ULV4	uniprot	Control 2h	36.31831226
APOB	P04114	uniprot	Control 2h	18.05637584
SRI	P30626	uniprot	Control 2h	0.0
ATP6V0D1	P61421	uniprot	Control 2h	29.20628209
MARS	P56192	uniprot	Control 2h	53.23924033
CORO1B	Q9BR76	uniprot	Control 2h	18.48965914
EIF4G2	P78344	uniprot	Control 2h	40.81741977
ERMP1	Q7Z2K6	uniprot	Control 2h	29.84449272
TROVE2	P10155	uniprot	Control 2h	26.400378600000003
MAP1LC3B	Q9GZQ8	uniprot	Control 2h	52.205857200000004
NMT1	P30419	uniprot	Control 2h	1.218659863
PSMD8	P48556	uniprot	Control 2h	31.66385187
NUP205	Q92621	uniprot	Control 2h	8.571568792
RPL18A	Q02543	uniprot	Control 2h	67.28066002
HJURP	Q8NCD3	uniprot	Control 2h	60.33670235
ATP6V1A	P38606	uniprot	Control 2h	0.0
MAP7D1	Q3KQU3	uniprot	Control 2h	15.65831541
PABPC1	P11940	uniprot	Control 2h	47.45971557
DHCR7	Q9UBM7	uniprot	Control 2h	27.00787749
HNRNPAB	Q99729	uniprot	Control 2h	9.263387085
ADRM1	Q16186	uniprot	Control 2h	38.97939267
RNH1	P13489	uniprot	Control 2h	21.00639178
PRDX3	P30048	uniprot	Control 2h	7.401041783999999
GPRC5A	Q8NFJ5	uniprot	Control 2h	22.39438973
SRSF3	P84103	uniprot	Control 2h	41.14749959
LARP1	Q6PKG0	uniprot	Control 2h	16.8927331
CNN3	Q15417	uniprot	Control 2h	0.0
STOM	P27105	uniprot	Control 2h	7.819144737
CUL1	Q13616	uniprot	Control 2h	23.12710522
COPA	P53621	uniprot	Control 2h	42.62514125
HDLBP	Q00341	uniprot	Control 2h	28.51952121
EIF3B	P55884	uniprot	Control 2h	10.15752308
PYGL	P06737	uniprot	Control 2h	25.61848398
HTATIP2	Q9BUP3	uniprot	Control 2h	35.0010982
MORF4L2	Q15014	uniprot	Control 2h	11.80502875
SDHD	O14521	uniprot	Control 2h	36.71267778
PDE3A	Q14432	uniprot	Control 2h	3.131496022
RPN1	P04843	uniprot	Control 2h	37.86904477
USP5	P45974	uniprot	Control 2h	19.47566541
TUBG1	P23258	uniprot	Control 2h	10.47443633
SLC39A14	Q15043	uniprot	Control 2h	47.37499592
PPP3CA	Q08209	uniprot	Control 2h	27.06950144
EPCAM	P16422	uniprot	Control 2h	35.98048192
CTSH	P09668	uniprot	Control 2h	26.18478659
TPM1	P09493	uniprot	Control 2h	26.37266414
HSPE1	P61604	uniprot	Control 2h	120.1870762
IGF2R	P11717	uniprot	Control 2h	33.16561237
SSR4	P51571	uniprot	Control 2h	15.30843742
RPS8	P62241	uniprot	Control 2h	68.07559358
DUT	P33316	uniprot	Control 2h	24.71740355
PXDN	Q92626	uniprot	Control 2h	34.92822498
CYB5A	P00167	uniprot	Control 2h	33.928883500000005
EIF5	P55010	uniprot	Control 2h	0.0
UBE2C	O00762	uniprot	Control 2h	40.0994514
DDAH1	O94760	uniprot	Control 2h	20.12613793
MDH1	P40925	uniprot	Control 2h	3.119374278
DNAJC7	Q99615	uniprot	Control 2h	8.697639742
HNRNPC	P07910	uniprot	Control 2h	0.0
TBL2	Q9Y4P3	uniprot	Control 2h	17.48911932
DNAJA2	O60884	uniprot	Control 2h	20.31752865
RPL13A	P40429	uniprot	Control 2h	0.0
ATXN2L	Q8WWM7	uniprot	Control 2h	17.26877129
NDUFB10	O96000	uniprot	Control 2h	17.42790779
PSMD4	P55036	uniprot	Control 2h	10.94397029
P4HA1	P13674	uniprot	Control 2h	52.75103013
PSMC6	P62333	uniprot	Control 2h	9.650130524
TSPO	P30536	uniprot	Control 2h	57.6526791
RHEB	Q15382	uniprot	Control 2h	4.29739712
RANBP2	P49792	uniprot	Control 2h	0.0
IKBIP	Q70UQ0	uniprot	Control 2h	11.36359184
COPS3	Q9UNS2	uniprot	Control 2h	35.30244322
ACIN1	Q9UKV3	uniprot	Control 2h	0.0
EHD4	Q9H223	uniprot	Control 2h	33.88405188
DYNLRB1	Q9NP97	uniprot	Control 2h	20.51657001
TRIM28	Q13263	uniprot	Control 2h	61.27961664
TAPBP	O15533	uniprot	Control 2h	36.73730285
RBM3	P98179	uniprot	Control 2h	29.69473481
EIF2S2	P20042	uniprot	Control 2h	81.70512171
NUP210	Q8TEM1	uniprot	Control 2h	59.64853374
SLC25A24	Q6NUK1	uniprot	Control 2h	0.0
RPL18	Q07020	uniprot	Control 2h	12.16746114
RPL26	P61254	uniprot	Control 2h	33.28339287
SUCLG1	P53597	uniprot	Control 2h	18.0637258
SRSF9	Q13242	uniprot	Control 2h	31.18009298
PDIA4	P13667	uniprot	Control 2h	14.13769589
DDR2	Q16832	uniprot	Control 2h	1.5557672230000001
ASPH	Q12797	uniprot	Control 2h	7.494859076
CRK	P46108	uniprot	Control 2h	7.6075306
NAA50	Q9GZZ1	uniprot	Control 2h	2.217074976
PRRC1	Q96M27	uniprot	Control 2h	8.478698433
HN1L; JPT2	Q9H910	uniprot	Control 2h	23.30025211
RPL34	P49207	uniprot	Control 2h	40.72013873
ALDH7A1	P49419	uniprot	Control 2h	16.30793441
TUBB	P07437	uniprot	Control 2h	0.0
SMC3	Q9UQE7	uniprot	Control 2h	23.94966614
GOT1	P17174	uniprot	Control 2h	8.92282799
HNRNPH1	P31943	uniprot	Control 2h	47.62462989
PSMB6	P28072	uniprot	Control 2h	35.56659661
HADHB	P55084	uniprot	Control 2h	31.86811946
GNS	P15586	uniprot	Control 2h	37.09327113
UQCC; UQCC1	Q9NVA1	uniprot	Control 2h	9.30950956
MTAP	Q13126	uniprot	Control 2h	30.26445143
ATP5C1	P36542	uniprot	Control 2h	5.35948106
KTN1	Q86UP2	uniprot	Control 2h	16.86005978
SELENBP1	Q13228	uniprot	Control 2h	0.0
PHB2	Q99623	uniprot	Control 2h	0.0
SSR2	P43308	uniprot	Control 2h	21.00956788
DAP	P51397	uniprot	Control 2h	15.15386332
TGM2	P21980	uniprot	Control 2h	42.31814781
SMS	P52788	uniprot	Control 2h	16.13908021
COPB2	P35606	uniprot	Control 2h	47.98318937
UGGT1	Q9NYU2	uniprot	Control 2h	45.30368061
MYADM	Q96S97	uniprot	Control 2h	15.51584157
HNRNPF	P52597	uniprot	Control 2h	46.22982523
ATP6V1B2	P21281	uniprot	Control 2h	7.877690277999999
EIF6	P56537	uniprot	Control 2h	0.0
ATAD3A	Q9NVI7	uniprot	Control 2h	31.02153369
POLD3	Q15054	uniprot	Control 2h	8.12259728
GSTO1	P78417	uniprot	Control 2h	17.14374765
CIAPIN1	Q6FI81	uniprot	Control 2h	5.768169401000001
SRRM1	Q8IYB3	uniprot	Control 2h	36.85755848
CAPRIN1	Q14444	uniprot	Control 2h	26.76560913
COPB1	P53618	uniprot	Control 2h	52.07850111
CHMP4B	Q9H444	uniprot	Control 2h	0.0
PFAS	O15067	uniprot	Control 2h	0.0
TECR	Q9NZ01	uniprot	Control 2h	9.444578067
AKAP8L	Q9ULX6	uniprot	Control 2h	24.21526048
ALYREF	Q86V81	uniprot	Control 2h	11.87129961
ACAT1	P24752	uniprot	Control 2h	63.59089399999999
OLA1	Q9NTK5	uniprot	Control 2h	13.25875252
EIF3F	O00303	uniprot	Control 2h	9.894779916000001
HBS1L	Q9Y450	uniprot	Control 2h	33.50291404
OCIAD1	Q9NX40	uniprot	Control 2h	35.54865638
RPS7	P62081	uniprot	Control 2h	20.006695399999998
RPL31	P62899	uniprot	Control 2h	5.686482392
RPS15A	P62244	uniprot	Control 2h	17.01716516
PAFAH1B2	P68402	uniprot	Control 2h	17.78137194
HCFC1	P51610	uniprot	Control 2h	7.740413543
PEG10	Q86TG7	uniprot	Control 2h	25.87021851
ABCF1	Q8NE71	uniprot	Control 2h	87.90162832
